,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
pie.test.save_answer_warning_info,"Click the ""Finish and Preview"" button to save your current answer.","Click the ""Finish and Preview"" button to save your current answer.","اپنے موجودہ جواب کو محفوظ کرنے کے لیے ""ختم کریں اور پیش نظارہ"" بٹن پر کلک کریں۔",Faceți clic pe butonul „Finalizare și previzualizare” pentru a salva răspunsul curent.,"روی دکمه ""پایان و پیش‌نمایش"" کلیک کنید تا پاسخ فعلی خود را ذخیره کنید.","Cliquez sur le bouton ""Terminer et Prévisualiser"" pour enregistrer votre réponse actuelle.","अपना वर्तमान उत्तर सहेजने के लिए ""समाप्त करें और पूर्वावलोकन करें"" बटन पर क्लिक करें।","انقر على زر ""إنهاء ومعاينة"" لحفظ إجابتك الحالية.","ਆਪਣੇ ਮੌਜੂਦਾ ਜਵਾਬ ਨੂੰ ਸੁਰੱਖਿਅਤ ਕਰਨ ਲਈ ""ਖਤਮ ਕਰੋ ਅਤੇ ਪੂਰਵ ਦਰਸ਼ਨ"" ਬਟਨ 'ਤੇ ਕਲਿਕ ਕਰੋ।","Haz clic en el botón ""Terminar y Previsualizar"" para guardar tu respuesta actual.","Klicken Sie auf die Schaltfläche ""Fertigstellen und Vorschau"", um Ihre aktuelle Antwort zu speichern.",現在の回答を保存するには、「完了してプレビュー」ボタンをクリックしてください。,"현재 답변을 저장하려면 ""완료 및 미리보기"" 버튼을 클릭하세요.","Натисніть кнопку ""Завершити та переглянути"", щоб зберегти вашу поточну відповідь.","د ""پای او مخکتنه"" تڼۍ کلیک وکړئ ترڅو خپل اوسنی ځواب خوندي کړئ.",点击“完成并预览”按钮以保存您当前的答案。
label.error.signup.emaildomain.notallowed,"Given email domain is not allowed, kindly check with Academy admin to proceed further.","Given email domain is not allowed, kindly check with Academy admin to proceed further.",دی گئی ای میل ڈومین کی اجازت نہیں ہے، براہ کرم مزید کارروائی کے لیے اکیڈمی کے منتظم سے رابطہ کریں۔,"Domeniul de email furnizat nu este permis, vă rugăm să verificați cu administratorul Academiei pentru a continua.",دامنه ایمیل داده شده مجاز نیست، لطفاً برای ادامه با مدیر آکادمی تماس بگیرید.,"Le domaine de l'email donné n'est pas autorisé, veuillez vérifier avec l'administrateur de l'académie pour continuer.","दिया गया ईमेल डोमेन अनुमति नहीं है, कृपया आगे बढ़ने के लिए अकादमी व्यवस्थापक से जांच करें।",النطاق البريدي المقدم غير مسموح به، يرجى التحقق مع مسؤول الأكاديمية للمتابعة.,"ਦਿੱਤਾ ਗਿਆ ਈਮੇਲ ਡੋਮੇਨ ਮਨਜ਼ੂਰ ਨਹੀਂ ਹੈ, ਕਿਰਪਾ ਕਰਕੇ ਅੱਗੇ ਵੱਧਣ ਲਈ ਅਕੈਡਮੀ ਐਡਮਿਨ ਨਾਲ ਜਾਂਚ ਕਰੋ।","El dominio de correo electrónico dado no está permitido, por favor verifica con el administrador de la Academia para continuar.","Die angegebene E-Mail-Domain ist nicht erlaubt, bitte überprüfen Sie dies mit dem Akademie-Administrator, um fortzufahren.",指定されたメールドメインは許可されていません。アカデミー管理者に確認して続行してください。,지정된 이메일 도메인은 허용되지 않습니다. 아카데미 관리자에게 확인하여 진행하세요.,"Заданий домен електронної пошти не дозволено, будь ласка, зверніться до адміністратора Академії для подальших дій.",ورکړل شوی ایمیل ډومین اجازه نلري، مهرباني وکړئ د اکاډمۍ مدیر سره چیک کړئ ترڅو نور پرمخ لاړ شئ.,不允许使用给定的电子邮件域名，请与学院管理员联系以继续。
pie.session.notification_permission.instructions,Tap 'Permissions' on the next screen and enable 'Notifications' permission.,Tap 'Permissions' on the next screen and enable 'Notifications' permission.,اگلی سکرین پر 'Permissions' کو ٹیپ کریں اور 'Notifications' کی اجازت کو فعال کریں۔,Atinge „Permisiuni” pe ecranul următor și activează permisiunea „Notificări”.,"روی صفحه بعدی ""مجوزها"" را بزنید و مجوز ""اعلان‌ها"" را فعال کنید.",Appuyez sur 'Autorisations' sur l'écran suivant et activez l'autorisation 'Notifications'.,अगली स्क्रीन पर 'अनुमतियाँ' टैप करें और 'सूचनाएँ' अनुमति सक्षम करें।,"اضغط على ""الأذونات"" في الشاشة التالية وقم بتمكين إذن ""الإشعارات"".",ਅਗਲੇ ਸਕਰੀਨ 'ਤੇ 'ਅਨੁਮਤੀਆਂ' 'ਤੇ ਟੈਪ ਕਰੋ ਅਤੇ 'ਸੂਚਨਾਵਾਂ' ਦੀ ਅਨੁਮਤੀ ਨੂੰ ਯੋਗ ਕਰੋ।,Toca 'Permisos' en la siguiente pantalla y habilita el permiso de 'Notificaciones'.,Tippen Sie auf dem nächsten Bildschirm auf 'Berechtigungen' und aktivieren Sie die Berechtigung 'Benachrichtigungen'.,次の画面で「権限」をタップし、「通知」権限を有効にします。,다음 화면에서 '권한'을 탭하고 '알림' 권한을 활성화하세요.,"На наступному екрані натисніть ""Дозволи"" та увімкніть дозвіл ""Сповіщення"".",په راتلونکي سکرین کې 'اجازې' ټایپ کړئ او د 'خبرتیاوو' اجازه فعال کړئ.,在下一个屏幕上点击“权限”，然后启用“通知”权限。
pie.session.connecting_av,Connecting you to the audio/video stream...,Connecting you to the audio/video stream...,آپ کو آڈیو/ویڈیو سلسلے سے جوڑ رہا ہے...,„Conectare la fluxul audio/video...”,در حال اتصال شما به جریان صوتی/تصویری...,Connexion au flux audio/vidéo...,आपको ऑडियो/वीडियो स्ट्रीम से जोड़ा जा रहा है...,يتم توصيلك بدفق الصوت/الفيديو...,ਤੁਹਾਨੂੰ ਆਡੀਓ/ਵੀਡੀਓ ਸਟ੍ਰੀਮ ਨਾਲ ਜੁੜਿਆ ਜਾ ਰਿਹਾ ਹੈ...,Conectándote a la transmisión de audio/video...,Verbindung zum Audio-/Videostream wird hergestellt...,オーディオ/ビデオストリームに接続中...,오디오/비디오 스트림에 연결 중입니다...,Підключення до аудіо/відео потоку...,تاسو د آډیو/ویډیو جریان سره نښلوئ...,正在连接音频/视频流...
pie.forms.details.updated,Details updated successfully,Details updated successfully,تفصیلات کامیابی سے اپ ڈیٹ ہو گئیں۔,Detaliile au fost actualizate cu succes.,جزئیات با موفقیت به‌روزرسانی شد.,Détails mis à jour avec succès,विवरण सफलतापूर्वक अपडेट किया गया,تم تحديث التفاصيل بنجاح,ਵੇਰਵੇ ਸਫਲਤਾਪੂਰਵਕ ਅਪਡੇਟ ਕੀਤੇ ਗਏ,Detalles actualizados exitosamente,Details erfolgreich aktualisiert,詳細が正常に更新されました,세부 정보가 성공적으로 업데이트되었습니다,Дані успішно оновлено,تفصیلات په بریالیتوب سره تازه شول,详细信息更新成功
notify.learner.invitation.cancelled.heading,Invitation cancelled,Invitation cancelled,دعوت منسوخ کر دی گئی ہے۔,Invitație anulată,دعوت لغو شد,Invitation annulée,निमंत्रण रद्द कर दिया गया,تم إلغاء الدعوة,ਨਿਮੰਤਰਣ ਰੱਦ ਕੀਤਾ ਗਿਆ,Invitación cancelada,Einladung storniert,招待がキャンセルされました,초대가 취소되었습니다,Запрошення скасовано,بلنه لغوه شوه,邀请已取消
pie.breakout.error.already_in_same_room,You are already in the same breakout room.,You are already in the same breakout room.,آپ پہلے ہی اسی بریک آؤٹ روم میں ہیں۔,Ești deja în aceeași sală de discuții.,شما قبلاً در همان اتاق گروهی هستید.,Vous êtes déjà dans la même salle de groupe.,आप पहले से ही उसी ब्रेकआउट रूम में हैं।,أنت بالفعل في نفس الغرفة الفرعية.,ਤੁਸੀਂ ਪਹਿਲਾਂ ਹੀ ਉਸੇ ਬ੍ਰੇਕਆਉਟ ਰੂਮ ਵਿੱਚ ਹੋ।,Ya estás en la misma sala de grupo.,Sie sind bereits im selben Breakout-Raum.,すでに同じブレイクアウトルームにいます。,이미 같은 브레이크아웃 룸에 있습니다.,Ви вже в тій самій кімнаті для групових занять.,تاسو دمخه په ورته برخې خونه کې یاست.,您已经在同一个分组讨论室中。
pie.app.number_suffix_two,nd,nd,این ڈی,nd,ند,nd,वां,الثانية,ਵੀਂ,nd,nd,nd,nd,нд,nd,nd
label.otp.resending_otp,Resending OTP,Resending OTP,او ٹی پی دوبارہ بھیجنا,Retrimiterea OTP-ului,ارسال مجدد رمز یکبار مصرف,Renvoyer le code OTP,ओटीपी पुनः भेजा जा रहा है,إعادة إرسال OTP,OTP ਮੁੜ ਭੇਜਿਆ ਜਾ ਰਿਹਾ ਹੈ,Reenviando OTP,OTP wird erneut gesendet,OTPを再送信中,OTP 재전송 중,Повторна відправка OTP,OTP بیا استول,重新发送一次性密码
label.paymentfailed,Payment failed,Payment failed,ادائیگی ناکام ہوگئی۔,Plata a eșuat,پرداخت ناموفق بود,Paiement échoué,भुगतान विफल,فشل الدفع,ਭੁਗਤਾਨ ਅਸਫਲ ਹੋ ਗਿਆ,Pago fallido,Zahlung fehlgeschlagen,支払いに失敗しました,결제 실패,Оплата не вдалася,تادیه ناکامه شوه,支付失败
pie.webinar.deniedcamaccess,You have denied access to your camera.,You have denied access to your camera.,آپ نے اپنے کیمرے تک رسائی کی اجازت نہیں دی۔,Ai refuzat accesul la camera ta.,شما دسترسی به دوربین خود را رد کرده‌اید.,Vous avez refusé l'accès à votre caméra.,आपने अपने कैमरे की पहुंच अस्वीकार कर दी है।,لقد رفضت الوصول إلى الكاميرا الخاصة بك.,ਤੁਸੀਂ ਆਪਣੇ ਕੈਮਰੇ ਦੀ ਪਹੁੰਚ ਨੂੰ ਰੱਦ ਕਰ ਦਿੱਤਾ ਹੈ।,Has denegado el acceso a tu cámara.,Sie haben den Zugriff auf Ihre Kamera verweigert.,カメラへのアクセスを拒否しました。,카메라 접근을 거부했습니다.,Ви відмовили у доступі до вашої камери.,تاسو خپل کامره ته لاسرسی رد کړی دی.,您已拒绝访问您的相机。
pie.app.course.enrollment,Course enrollment,Course enrollment,کورس میں داخلہ,Înscriere la curs,ثبت‌نام در دوره,Inscription au cours,पाठ्यक्रम नामांकन,تسجيل الدورة,ਕੋਰਸ ਦਾਖਲਾ,Inscripción al curso,Kurseinschreibung,コース登録,코스 등록,Зарахування на курс,د کورس نوم لیکنه,课程注册
pie.broadcast.you_have_denied_access_to_your_microphone,You have denied Access to your Microphone,You have denied Access to your Microphone,آپ نے اپنے مائیکروفون تک رسائی کی اجازت نہیں دی۔,Ai refuzat accesul la microfonul tău,شما دسترسی به میکروفون خود را رد کرده‌اید.,Vous avez refusé l'accès à votre microphone,आपने अपने माइक्रोफ़ोन की पहुंच अस्वीकार कर दी है,لقد رفضت الوصول إلى الميكروفون الخاص بك,ਤੁਸੀਂ ਆਪਣੇ ਮਾਈਕ੍ਰੋਫੋਨ ਦੀ ਪਹੁੰਚ ਨੂੰ ਰੱਦ ਕਰ ਦਿੱਤਾ ਹੈ,Has denegado el acceso a tu micrófono.,Sie haben den Zugriff auf Ihr Mikrofon verweigert.,マイクへのアクセスを拒否しました,마이크 접근을 거부했습니다.,Ви відмовили у доступі до вашого мікрофона,تاسو خپل مایکروفون ته لاسرسی رد کړی دی,您已拒绝访问您的麦克风。
pie.viewmote.presenter_mutedvideo,Presenter has disabled the video,Presenter has disabled the video,پیش کنندہ نے ویڈیو کو غیر فعال کر دیا ہے۔,Prezentatorul a dezactivat videoclipul.,ارائه‌دهنده ویدیو را غیرفعال کرده است,Le présentateur a désactivé la vidéo,प्रस्तुतकर्ता ने वीडियो अक्षम कर दिया है,قام المقدم بتعطيل الفيديو,ਪ੍ਰਸਤੁਤਕਰਤਾ ਨੇ ਵੀਡੀਓ ਨੂੰ ਅਯੋਗ ਕੀਤਾ ਹੈ,El presentador ha desactivado el video,Der Präsentator hat das Video deaktiviert,プレゼンターがビデオを無効にしました,발표자가 비디오를 비활성화했습니다,Ведучий вимкнув відео,ارائه کوونکي ویډیو غیر فعال کړې ده,主持人已禁用视频。
label.text.or,or,or,یا,sau,یا,ou,या,أو,ਜਾਂ,o,oder,または,또는,або,یا,或者
notify.learner.invitation.cancelled.content,Your invitation has been cancelled by the trainer.,Your invitation has been cancelled by the trainer.,آپ کی دعوت کو ٹرینر نے منسوخ کر دیا ہے۔,Invitația ta a fost anulată de către antrenor.,دعوت‌نامه شما توسط مربی لغو شده است.,Votre invitation a été annulée par le formateur.,आपका निमंत्रण प्रशिक्षक द्वारा रद्द कर दिया गया है।,تم إلغاء دعوتك من قبل المدرب.,ਤੁਹਾਡਾ ਨਿਮੰਤਰਣ ਟ੍ਰੇਨਰ ਦੁਆਰਾ ਰੱਦ ਕਰ ਦਿੱਤਾ ਗਿਆ ਹੈ।,Tu invitación ha sido cancelada por el entrenador.,Ihre Einladung wurde vom Trainer storniert.,トレーナーによって招待がキャンセルされました。,트레이너가 초대를 취소했습니다.,Ваше запрошення було скасовано тренером.,ستاسو بلنه د روزونکي لخوا لغوه شوې ده.,您的邀请已被培训师取消。
pie.app.course.certificate_download,Download Certificate,Download Certificate,سرٹیفکیٹ ڈاؤن لوڈ کریں,Descarcă certificatul,دانلود گواهی‌نامه,Télécharger le certificat,प्रमाण पत्र डाउनलोड करें,تحميل الشهادة,ਸਰਟੀਫਿਕੇਟ ਡਾਊਨਲੋਡ ਕਰੋ,Descargar certificado,Zertifikat herunterladen,証明書をダウンロード,인증서 다운로드,Завантажити сертифікат,سند ډاونلوډ کړئ,下载证书
certificate.validation.search&verify,Search & Verify certificate,Search & Verify certificate,تلاش کریں اور سرٹیفکیٹ کی تصدیق کریں۔,Caută și verifică certificatul,جستجو و تأیید گواهی‌نامه,Rechercher et vérifier le certificat,प्रमाण पत्र खोजें और सत्यापित करें,البحث والتحقق من الشهادة,ਸਰਟੀਫਿਕੇਟ ਖੋਜੋ ਅਤੇ ਸਤਿਆਪਿਤ ਕਰੋ,Buscar y verificar certificado,Zertifikat suchen & verifizieren,証明書を検索して確認,인증서 검색 및 확인,Пошук і перевірка сертифіката,سند لټون او تایید کړئ,搜索与验证证书
pie.common.paid,Paid,Paid,ادا شدہ,Plătit,پرداخت شده,Payé,भुगतान किया गया,مدفوع,ਭੁਗਤਾਨ ਕੀਤਾ,Pagado,Bezahlt,支払済み,유료,Оплачено,تادیه شوې,已支付
pie.common.time,Time,Time,وقت,Timp,زمان,Temps,समय,الوقت,ਸਮਾਂ,Hora,Zeit,時間,시간,Час,وخت,时间
lable.text.proceed_course,Proceed to course,Proceed to course,کورس کی طرف بڑھیں۔,Accesați cursul,ادامه به دوره,Accéder au cours,पाठ्यक्रम पर आगे बढ़ें,المتابعة إلى الدورة,ਕੋਰਸ ਵੱਲ ਜਾਓ,Proceder al curso,Zum Kurs fortfahren,コースに進む,코스로 진행,Перейти до курсу,کورس ته دوام ورکړئ,继续课程
pie.app.issued.on,Issued on,Issued on,جاری کردہ تاریخ,Eliberat la,صادر شده در,Émis le,जारी किया गया,صدر في,ਜਾਰੀ ਕੀਤਾ,Emitido el,Ausgestellt am,発行日,발행일,Видано,په باندې صادر شوی,签发日期
pie.pricing.purchase_custom_ticket,Purchase custom ticket,Purchase custom ticket,حسب ضرورت ٹکٹ خریدیں۔,Cumpără bilet personalizat,خرید بلیط سفارشی,Acheter un billet personnalisé,कस्टम टिकट खरीदें,شراء تذكرة مخصصة,ਕਸਟਮ ਟਿਕਟ ਖਰੀਦੋ,Comprar boleto personalizado,Benutzerdefiniertes Ticket kaufen,カスタムチケットを購入,맞춤 티켓 구매,Придбати індивідуальний квиток,ګمرکي ټکټ واخلئ,购买定制票
label.resendinvitation,Resend invitation,Resend invitation,دعوت نامہ دوبارہ بھیجیں,Retrimite invitația,ارسال مجدد دعوتنامه,Renvoyer l'invitation,निमंत्रण पुनः भेजें,إعادة إرسال الدعوة,ਨਿਮੰਤਰਣ ਮੁੜ ਭੇਜੋ,Reenviar invitación,Einladung erneut senden,招待を再送信,초대 재전송,Повторно надіслати запрошення,بلنه بیا واستوئ,重新发送邀请
ticket.info.inclusive_of_tax,Inclusive of tax,Inclusive of tax,ٹیکس سمیت,Inclusiv taxe,شامل مالیات,Taxes incluses,कर सहित,شامل الضريبة,ਟੈਕਸ ਸਮੇਤ,Incluye impuestos,Inklusive Steuer,税金を含む,세금 포함,Включаючи податок,د مالیې په شمول,含税
label.text.course_word,Course,Course,کورس,Curs,دوره,Cours,पाठ्यक्रम,الدورة,ਕੋਰਸ,Curso,Kurs,コース,코스,Курс,کورس,课程
pie.session.reactions.expressions,Emotions,Emotions,جذبات,Emoții,احساسات,Émotions,भावनाएँ,العواطف,ਭਾਵਨਾਵਾਂ,Emociones,Emotionen,感情,감정,Емоції,احساسات,情感
label.enrolledLiveWorkshops,Enrolled Live Workshops,Enrolled Live Workshops,داخل شدہ لائیو ورکشاپس,Ateliere live înscrise,کارگاه‌های زنده ثبت‌نام‌شده,Ateliers en direct inscrits,नामांकित लाइव कार्यशालाएँ,ورش العمل المباشرة المسجلة,ਲਾਈਵ ਵਰਕਸ਼ਾਪਾਂ ਵਿੱਚ ਦਾਖਲ ਕੀਤਾ,Talleres en vivo inscritos,Eingeschriebene Live-Workshops,登録されたライブワークショップ,등록된 라이브 워크숍,Зараховані живі майстер-класи,ژوندی ورکشاپونه شامل شوي,已报名的现场研讨会
content.remoteip.lock,Your action has been restricted due to excessive usage. Please try again after {duration} minutes.,Your action has been restricted due to excessive usage. Please try again after {duration} minutes.,آپ کی کارروائی کو زیادہ استعمال کی وجہ سے محدود کر دیا گیا ہے۔ براہ کرم {duration} منٹ کے بعد دوبارہ کوشش کریں۔,Acțiunea ta a fost restricționată din cauza utilizării excesive. Te rugăm să încerci din nou după {duration} minute.,عملکرد شما به دلیل استفاده بیش از حد محدود شده است. لطفاً پس از {duration} دقیقه دوباره تلاش کنید.,Votre action a été restreinte en raison d'une utilisation excessive. Veuillez réessayer après {durée} minutes.,आपकी कार्रवाई अत्यधिक उपयोग के कारण प्रतिबंधित कर दी गई है। कृपया {अवधि} मिनट बाद पुनः प्रयास करें।,تم تقييد نشاطك بسبب الاستخدام المفرط. يرجى المحاولة مرة أخرى بعد {duration} دقيقة.,ਤੁਹਾਡੀ ਕਾਰਵਾਈ ਨੂੰ ਵੱਧ ਵਰਤੋਂ ਦੇ ਕਾਰਨ ਸੀਮਿਤ ਕੀਤਾ ਗਿਆ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ {ਮਿਆਦ} ਮਿੰਟਾਂ ਬਾਅਦ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ।,"Tu acción ha sido restringida debido al uso excesivo. Por favor, intenta de nuevo después de {duration} minutos.",Ihre Aktion wurde aufgrund übermäßiger Nutzung eingeschränkt. Bitte versuchen Sie es nach {Dauer} Minuten erneut.,過度の使用によりアクションが制限されました。{duration}分後に再試行してください。,과도한 사용으로 인해 작업이 제한되었습니다. {duration}분 후에 다시 시도하세요.,"Ваші дії були обмежені через надмірне використання. Будь ласка, спробуйте ще раз через {duration} хвилин.",ستاسو عمل د ډیرې کارونې له امله محدود شوی دی. مهرباني وکړئ وروسته له {duration} دقیقو بیا هڅه وکړئ.,由于使用过多，您的操作已被限制。请在{duration}分钟后重试。
pie.viewer.you_closed_session_msg,You've closed this training session window,You've closed this training session window,آپ نے اس تربیتی سیشن کی ونڈو بند کر دی ہے۔,Ai închis această fereastră de sesiune de instruire,شما این پنجره جلسه آموزشی را بسته‌اید.,Vous avez fermé cette fenêtre de session de formation,आपने इस प्रशिक्षण सत्र की विंडो बंद कर दी है,لقد أغلقت نافذة جلسة التدريب هذه,ਤੁਸੀਂ ਇਹ ਟ੍ਰੇਨਿੰਗ ਸੈਸ਼ਨ ਵਿੰਡੋ ਬੰਦ ਕਰ ਦਿੱਤਾ ਹੈ,Has cerrado esta ventana de sesión de entrenamiento,Sie haben dieses Trainingsfenster geschlossen,このトレーニングセッションウィンドウを閉じました,이 교육 세션 창을 닫았습니다,Ви закрили це вікно навчальної сесії,تاسو د دې روزنې غونډې کړکۍ وتړله,您已关闭此培训会话窗口。
label.enrollmanually,Manually enrolled,Manually enrolled,دستی طور پر داخل کیا گیا,Înscris manual,ثبت‌نام دستی,Inscrit manuellement,मैन्युअल रूप से नामांकित,مسجل يدويًا,ਮੈਨੁਅਲ ਤੌਰ 'ਤੇ ਦਾਖਲ ਕੀਤਾ,Inscrito manualmente,Manuell eingeschrieben,手動で登録,수동으로 등록됨,Зараховано вручну,په لاسي ډول شامل شوی,手动注册
pie.course.materialtype.test,TEST,TEST,آزمائش,TEST,آزمون,TEST,परीक्षण,اختبار,ਟੈਸਟ,PRUEBA,TEST,テスト,테스트,ТЕСТ,ټیسټ,测试
pie.session.unauthorized,Unauthorized access,Unauthorized access,غیر مجاز رسائی,Acces neautorizat,دسترسی غیرمجاز,Accès non autorisé,अनधिकृत पहुंच,وصول غير مصرح به,ਗੈਰ-ਅਧਿਕਾਰਤ ਪਹੁੰਚ,Acceso no autorizado,Unbefugter Zugriff,不正アクセス,허가되지 않은 접근,Несанкціонований доступ,غیر مجاز لاسرسی,未经授权的访问
pie.course.ilc.choose_a_batch_to_continue,Choose a batch to continue with purchase,Choose a batch to continue with purchase,خریداری جاری رکھنے کے لیے ایک بیچ منتخب کریں۔,Alegeți un lot pentru a continua achiziția,یک دسته را برای ادامه خرید انتخاب کنید,Choisissez un groupe pour continuer l'achat,खरीदारी जारी रखने के लिए एक बैच चुनें,اختر دفعة للمتابعة مع الشراء,ਖਰੀਦ ਨਾਲ ਜਾਰੀ ਰੱਖਣ ਲਈ ਇੱਕ ਬੈਚ ਚੁਣੋ,Elige un grupo para continuar con la compra,"Wählen Sie eine Gruppe, um mit dem Kauf fortzufahren",購入を続行するためにバッチを選択,구매를 계속할 배치를 선택하세요,"Виберіть партію, щоб продовжити покупку",د پیرود سره د دوام لپاره یوه ډله غوره کړئ,选择一个批次继续购买
label.text.pauseaudio,Pause Audio,Pause Audio,آڈیو روکیں,Pauză Audio,توقف صدا,Pause audio,ऑडियो रोकें,إيقاف الصوت,ਆਡੀਓ ਰੋਕੋ,Pausar audio,Audio pausieren,オーディオを一時停止,오디오 일시정지,Пауза аудіо,آډیو ودرول,暂停音频
global.course_name,Course Name,Course Name,کورس کا نام,Numele cursului,نام دوره,Nom du cours,पाठ्यक्रम का नाम,اسم الدورة,ਕੋਰਸ ਦਾ ਨਾਮ,Nombre del curso,Kursname,コース名,코스 이름,Назва курсу,د کورس نوم,课程名称
ticket.already_purchased_without_name,"You've already purchased a ticket for the amount {ticketAmount}. If you purchase a new ticket for this {moduleName}, your existing ticket will become invalid.","You've already purchased a ticket for the amount {ticketAmount}. If you purchase a new ticket for this {moduleName}, your existing ticket will become invalid.",آپ نے پہلے ہی {ticketAmount} کی رقم کا ٹکٹ خرید لیا ہے۔ اگر آپ اس {moduleName} کے لیے نیا ٹکٹ خریدتے ہیں تو آپ کا موجودہ ٹکٹ غیر مؤثر ہو جائے گا۔,"Ați achiziționat deja un bilet în valoare de {ticketAmount}. Dacă achiziționați un nou bilet pentru acest {moduleName}, biletul existent va deveni invalid.",شما قبلاً بلیطی به مبلغ {ticketAmount} خریداری کرده‌اید. اگر بلیط جدیدی برای این {moduleName} خریداری کنید، بلیط فعلی شما نامعتبر خواهد شد.,"Vous avez déjà acheté un billet pour le montant de {ticketAmount}. Si vous achetez un nouveau billet pour ce {moduleName}, votre billet existant deviendra invalide.","आपने पहले ही {ticketAmount} राशि के लिए एक टिकट खरीदा है। यदि आप इस {moduleName} के लिए एक नया टिकट खरीदते हैं, तो आपका मौजूदा टिकट अमान्य हो जाएगा।",لقد اشتريت بالفعل تذكرة بالمبلغ {ticketAmount}. إذا قمت بشراء تذكرة جديدة لهذا {moduleName}، فستصبح تذكرتك الحالية غير صالحة.,"ਤੁਸੀਂ ਪਹਿਲਾਂ ਹੀ {ticketAmount} ਦੀ ਰਕਮ ਲਈ ਇੱਕ ਟਿਕਟ ਖਰੀਦ ਚੁੱਕੇ ਹੋ। ਜੇ ਤੁਸੀਂ ਇਸ {moduleName} ਲਈ ਨਵੀਂ ਟਿਕਟ ਖਰੀਦਦੇ ਹੋ, ਤਾਂ ਤੁਹਾਡੀ ਮੌਜੂਦਾ ਟਿਕਟ ਅਵੈਧ ਹੋ ਜਾਵੇਗੀ।","Ya has comprado un boleto por el monto de {ticketAmount}. Si compras un nuevo boleto para este {moduleName}, tu boleto existente se volverá inválido.","Sie haben bereits ein Ticket für den Betrag {ticketAmount} gekauft. Wenn Sie ein neues Ticket für dieses {moduleName} kaufen, wird Ihr bestehendes Ticket ungültig.",この{moduleName}のために新しいチケットを購入すると、既存のチケットは無効になります。{ticketAmount}の金額で既にチケットを購入しています。,이미 {ticketAmount} 금액의 티켓을 구매했습니다. 이 {moduleName}에 대한 새 티켓을 구매하면 기존 티켓이 무효화됩니다.,"Ви вже придбали квиток на суму {ticketAmount}. Якщо ви придбаєте новий квиток для цього {moduleName}, ваш існуючий квиток стане недійсним.",تاسو دمخه د {ticketAmount} مقدار لپاره ټکټ اخیستی دی. که تاسو د دې {moduleName} لپاره نوی ټکټ واخلئ، ستاسو موجوده ټکټ به باطل شي.,您已购买金额为 {ticketAmount} 的票。如果您为此 {moduleName} 购买新票，您现有的票将失效。
pie.app.audio_devices.phone,Phone,Phone,فون,Telefon,تلفن,Téléphone,फ़ोन,الهاتف,ਫ਼ੋਨ,Teléfono,Telefon,電話,전화,Телефон,تلیفون,电话
pie.test.uploadfile.supportedformats,Supported Formats,Supported Formats,مدد یافتہ فارمیٹس,Formate acceptate,فرمت‌های پشتیبانی‌شده,Formats pris en charge,समर्थित प्रारूप,التنسيقات المدعومة,ਸਮਰਥਿਤ ਫਾਰਮੈਟ,Formatos compatibles,Unterstützte Formate,サポートされている形式,지원되는 형식,Підтримувані формати,ملاتړ شوي بڼه,支持的格式
content.course.transaction,All course plan purchases with respect to this academy will be listed here.,All course plan purchases with respect to this academy will be listed here.,اس اکیڈمی کے حوالے سے تمام کورس پلان کی خریداری یہاں درج کی جائے گی۔,Toate achizițiile de planuri de curs în legătură cu această academie vor fi listate aici.,تمام خریدهای برنامه دوره مربوط به این آکادمی در اینجا فهرست خواهند شد.,Tous les achats de plans de cours en rapport avec cette académie seront listés ici.,इस अकादमी के संबंध में सभी पाठ्यक्रम योजना खरीद यहां सूचीबद्ध होंगी।,سيتم إدراج جميع مشتريات خطط الدورات فيما يتعلق بهذه الأكاديمية هنا.,ਇਸ ਅਕੈਡਮੀ ਦੇ ਸੰਬੰਧ ਵਿੱਚ ਸਾਰੇ ਕੋਰਸ ਯੋਜਨਾ ਦੀਆਂ ਖਰੀਦਦਾਰੀਆਂ ਇੱਥੇ ਦਰਸਾਈਆਂ ਜਾਣਗੀਆਂ।,Todas las compras de planes de curso con respecto a esta academia se listarán aquí.,Alle Kursplan-Käufe in Bezug auf diese Akademie werden hier aufgelistet.,このアカデミーに関するすべてのコースプラン購入がここに表示されます。,이 아카데미와 관련된 모든 코스 계획 구매가 여기에 나열됩니다.,Усі покупки планів курсів щодо цієї академії будуть перераховані тут.,د دې اکاډمۍ په اړه د کورس پلان ټول پیرودونه دلته لیست کیږي.,与本学院相关的所有课程计划购买将列在此处。
